variant_id,stop_id
799527,1496
799527,1604
805419,73
805422,83
805422,2482
805422,73
805440,1705
805593,1603
805593,1497
805675,4248
805675,2040
805675,1705
805676,4248
805676,2040
805676,1705
806431,1704
806432,1704
806432,2477
806432,4248
806466,1705
806466,4201
809456,1868
809723,568
809723,572
809873,4248
809873,2040
809873,1705
809910,4013
809910,3976
809910,4026
809910,4002
809911,4003
809911,4025
809911,3976
809911,4014
809920,1705
810127,1398
810127,3522
810127,1418
810127,2031
810127,1868
810473,3667
810473,3586
810558,1542
812502,1704
812502,2251
812502,895
812503,992
812503,1015
812503,1705
812504,1704
812504,2251
812505,1015
812505,1705
812507,3977
812507,992
812507,1705
812508,1704
812508,2251
812508,895
812512,992
812512,1015
812513,992
812513,1015
812513,1705
812516,3871
812516,992
812516,1015
812517,3871
812517,992
812517,1015
812517,1705
812518,3871
812518,992
812518,1015
812518,1705
812530,1015
812531,1015
812531,1705
812540,1705
812541,3977
812541,992
812541,1705
812556,1704
812556,2251
812556,895
812556,3870
813880,1398
813880,1541
813880,1581
813880,1502
813987,1704
813987,149
813988,148
813988,1705
813989,1704
813989,149
813993,1704
813993,149
813993,912
813995,148
813996,148
813996,1705
813997,148
813997,1705
813999,153
813999,148
814000,153
814000,148
814000,1705
814001,153
814001,148
814001,1705
814002,148
814003,148
814003,1705
814004,148
814004,1705
814005,153
814005,148
814006,153
814006,148
814006,1705
814008,153
814008,148
814008,1705
814009,1704
814009,149
814009,153
814092,1897
814092,2034
814092,1417
814092,3521
814092,1541
814092,1375
814095,1897
814888,4685
814888,1534
814888,1418
814888,2031
814888,1897
815232,469
815232,2905
815232,435
815232,1011
815233,469
815233,2905
815233,435
815233,1011
815319,1897
815319,2034
815319,1417
815319,1533
815319,4684
815449,539
815449,527
815522,148
815522,1705
815522,4201
815538,3977
815538,992
815538,1015
815538,1705
815688,3977
815688,992
815688,1015
815688,1705
815690,895
815694,895
815694,3976
815695,1704
815695,895
815695,3976
815781,1532
815781,2818
815995,3720
815995,3245
815995,727
815995,3415
816014,3419
816014,4591
816014,3599
